,tconst,averagerating,numvotes,movie,start_year,runtime_minutes,genres,id,release_date,production_budget,domestic_gross,worldwide_gross,net_pre_marketing,domestic/world,earnings/cost_ratio,year_released,Profitable?
167,tt0491203,6.2,15037.0,Tulip Fever,2017,105.0,"Drama,History,Romance",8.0,"Sep 1, 2017",25000000.0,2455635.0,6792768.0,-18207232.0,0.361507267729444,-0.72828928,2017.0,False
168,tt0492389,3.8,14700.0,Furry Vengeance,2010,92.0,"Comedy,Family",17.0,"Apr 30, 2010",35000000.0,17630465.0,39340177.0,4340177.0,0.4481541859865043,0.12400505714285714,2010.0,False
171,tt0493949,6.6,16086.0,Ramona and Beezus,2010,103.0,"Adventure,Comedy,Family",60.0,"Jul 23, 2010",15000000.0,26167002.0,27469621.0,12469621.0,0.9525796515357821,0.8313080666666667,2010.0,False
177,tt0498381,4.5,34151.0,Rings,2017,102.0,"Drama,Horror,Mystery",38.0,"Feb 3, 2017",25000000.0,27793018.0,82917283.0,57917283.0,0.3351896853639066,2.31669132,2017.0,True
181,tt0763831,5.9,36387.0,A Thousand Words,2012,91.0,"Comedy,Drama",1.0,"Mar 9, 2012",40000000.0,18450127.0,20790486.0,-19209514.0,0.8874312510058687,-0.48023785,2012.0,False
187,tt0770703,6.1,67922.0,What's Your Number?,2011,106.0,"Comedy,Romance",24.0,"Sep 30, 2011",20000000.0,14011084.0,30163785.0,10163785.0,0.46450019452134406,0.50818925,2011.0,False
190,tt0770802,8.5,29725.0,Samsara,2011,102.0,"Documentary,Music",18.0,"Aug 24, 2012",4000000.0,2672413.0,5966671.0,1966671.0,0.44789012164404574,0.49166775,2012.0,False
191,tt0770828,7.1,647288.0,Man of Steel,2013,143.0,"Action,Adventure,Sci-Fi",29.0,"Jun 14, 2013",225000000.0,291045518.0,667999518.0,442999518.0,0.4356971976138462,1.9688867466666666,2013.0,True
199,tt0780504,7.8,521495.0,Drive,2011,100.0,"Crime,Drama",36.0,"Sep 16, 2011",15000000.0,35060689.0,81357930.0,66357930.0,0.4309437199299441,4.423862,2011.0,True
203,tt0780653,5.8,97873.0,The Wolfman,2010,103.0,"Drama,Fantasy,Horror",91.0,"Feb 12, 2010",150000000.0,62189884.0,142634358.0,-7365642.0,0.4360091416403333,-0.04910428,2010.0,False
206,tt0787474,6.8,50763.0,The Boxtrolls,2014,96.0,"Adventure,Animation,Comedy",94.0,"Sep 26, 2014",60000000.0,50837305.0,111946251.0,51946251.0,0.45412244309994804,0.86577085,2014.0,False
207,tt0787524,7.2,43575.0,The Man Who Knew Infinity,2015,108.0,"Biography,Drama",67.0,"Apr 29, 2016",10000000.0,3877922.0,12382122.0,2382122.0,0.3131871903701159,0.2382122,2016.0,False
208,tt0790628,5.9,67549.0,The Incredible Burt Wonderstone,2013,100.0,"Adventure,Comedy,Fantasy",7.0,"Mar 15, 2013",32000000.0,22537881.0,27392609.0,-4607391.0,0.8227723397942854,-0.14398096875,2013.0,False
209,tt0790636,8.0,402462.0,Dallas Buyers Club,2013,117.0,"Biography,Drama",73.0,"Nov 1, 2013",5000000.0,27298285.0,60611845.0,55611845.0,0.45037871722928086,11.122369,2013.0,True
212,tt0790724,7.0,284547.0,Jack Reacher,2012,130.0,"Action,Crime,Thriller",68.0,"Dec 21, 2012",60000000.0,80070736.0,217370736.0,157370736.0,0.3683602377828817,2.6228456,2012.0,True
213,tt0790736,5.6,109078.0,R.I.P.D.,2013,96.0,"Action,Adventure,Comedy",55.0,"Jul 19, 2013",130000000.0,33618855.0,79076678.0,-50923322.0,0.4251424800621999,-0.39171786153846155,2013.0,False
221,tt0800320,5.8,256176.0,Clash of the Titans,2010,106.0,"Action,Adventure,Fantasy",72.0,"Apr 1, 2010",125000000.0,163214888.0,493214888.0,368214888.0,0.33092044050381547,2.945719104,2010.0,True
224,tt0800369,7.0,683264.0,Thor,2011,115.0,"Action,Adventure,Fantasy",70.0,"May 6, 2011",150000000.0,181030624.0,449326618.0,299326618.0,0.40289316668081304,1.9955107866666666,2011.0,True
225,tt0803061,7.4,15357.0,Red Dog,2011,92.0,"Biography,Comedy,Drama",67.0,"Dec 31, 2011",9100000.0,0.0,20927794.0,11827794.0,0.0,1.2997575824175824,2011.0,True
226,tt0803096,6.9,225557.0,Warcraft,2016,123.0,"Action,Adventure,Fantasy",46.0,"Jun 10, 2016",160000000.0,47225655.0,425522281.0,265522281.0,0.11098280186179017,1.65951425625,2016.0,True
228,tt0804497,7.1,125583.0,It's Kind of a Funny Story,2010,101.0,"Comedy,Drama,Romance",1.0,"Oct 8, 2010",8000000.0,6363628.0,6632950.0,-1367050.0,0.9593963470250794,-0.17088125,2010.0,False
229,tt0804509,6.2,653.0,The Mule,2013,100.0,"Comedy,Drama",100.0,"Dec 14, 2018",50000000.0,103804407.0,170857676.0,120857676.0,0.607548981293647,2.41715352,2018.0,True
232,tt0808510,5.0,37939.0,Tooth Fairy,2010,101.0,"Comedy,Family,Fantasy",23.0,"Jan 22, 2010",48000000.0,60022256.0,112610386.0,64610386.0,0.5330081720881411,1.3460497083333334,2010.0,True
237,tt0810913,3.3,71361.0,Jack and Jill,2011,91.0,Comedy,11.0,"Nov 11, 2011",79000000.0,74158157.0,150519217.0,71519217.0,0.4926823197598749,0.9053065443037974,2011.0,False
238,tt0810922,6.3,48393.0,Take Me Home Tonight,2011,97.0,"Comedy,Drama,Romance",48.0,"Mar 4, 2011",19000000.0,6928068.0,7576604.0,-11423396.0,0.9144028116026652,-0.6012313684210526,2011.0,False
243,tt0814255,5.9,165108.0,Percy Jackson & the Olympians: The Lightning Thief,2010,118.0,"Adventure,Family,Fantasy",17.0,"Feb 12, 2010",95000000.0,88768303.0,223050874.0,128050874.0,0.3979733475511959,1.3479039368421053,2010.0,True
245,tt0815236,6.4,117245.0,She's Out of My League,2010,104.0,"Comedy,Romance",62.0,"Mar 12, 2010",20000000.0,32010860.0,48680977.0,28680977.0,0.6575640419049108,1.43404885,2010.0,True
247,tt0816442,7.6,119023.0,The Book Thief,2013,131.0,"Drama,War",41.0,"Nov 8, 2013",19000000.0,21488481.0,76086711.0,57086711.0,0.2824209473320512,3.004563736842105,2013.0,True
248,tt0816462,5.2,90834.0,Conan the Barbarian,2011,113.0,"Action,Adventure,Fantasy",76.0,"Aug 19, 2011",90000000.0,21295021.0,63356133.0,-26643867.0,0.336116173630736,-0.2960429666666667,2011.0,False
250,tt0816692,8.6,1299334.0,Interstellar,2014,169.0,"Adventure,Drama,Sci-Fi",32.0,"Nov 5, 2014",165000000.0,188017894.0,666379375.0,501379375.0,0.28214842933876816,3.038662878787879,2014.0,True
251,tt0816711,7.0,553751.0,World War Z,2013,116.0,"Action,Adventure,Horror",69.0,"Jun 21, 2013",190000000.0,202359711.0,531514650.0,341514650.0,0.3807227345473921,1.7974455263157896,2013.0,True
252,tt0817177,7.7,74937.0,Flipped,2010,90.0,"Comedy,Drama,Romance",22.0,"Aug 6, 2010",14000000.0,1755212.0,4289993.0,-9710007.0,0.4091409939363537,-0.6935719285714286,2010.0,False
253,tt0817230,5.7,107171.0,Valentine's Day,2010,125.0,"Comedy,Romance",70.0,"Feb 12, 2010",52000000.0,110485654.0,217569328.0,165569328.0,0.5078181516468167,3.1840255384615386,2010.0,True
257,tt0822847,5.7,108320.0,Priest,2011,87.0,"Action,Adventure,Fantasy",29.0,"May 13, 2011",60000000.0,29136626.0,84154026.0,24154026.0,0.3462297335602221,0.4025671,2011.0,False
263,tt0829150,6.3,164829.0,Dracula Untold,2014,92.0,"Action,Drama,Fantasy",21.0,"Oct 10, 2014",70000000.0,55991880.0,220241723.0,150241723.0,0.2542292134174777,2.1463103285714284,2014.0,True
266,tt0831387,6.4,350687.0,Godzilla,2014,123.0,"Action,Adventure,Sci-Fi",41.0,"May 16, 2014",160000000.0,200676069.0,529076069.0,369076069.0,0.3792953050764426,2.30672543125,2014.0,True
273,tt0837562,7.1,204571.0,Hotel Transylvania,2012,91.0,"Animation,Comedy,Family",96.0,"Sep 28, 2012",85000000.0,148313048.0,378505812.0,293505812.0,0.39183823153553055,3.4530095529411766,2012.0,True
274,tt0837563,6.0,34472.0,Pet Sematary,2019,101.0,"Horror,Mystery,Thriller",61.0,"Apr 5, 2019",21000000.0,54724696.0,109501146.0,88501146.0,0.49976368283853395,4.214340285714286,2019.0,True
