,tconst,averagerating,numvotes,movie,start_year,runtime_minutes,genres,id,release_date,production_budget,domestic_gross,worldwide_gross,net_pre_marketing,domestic/world,earnings/cost_ratio,year_released,Profitable?
75,tt1261945,4.4,69199.0,Sex and the City 2,2010,146.0,"Comedy,Drama,Romance",16.0,"May 27, 2010",95000000.0,95347692.0,294680778.0,199680778.0,0.32356264513459376,2.1019029263157893,2010.0,True
78,tt1282140,7.1,330125.0,Easy A,2010,92.0,"Comedy,Drama,Romance",67.0,"Sep 17, 2010",8000000.0,58401464.0,76200721.0,68200721.0,0.7664161602880372,8.525090125,2010.0,True
79,tt1284575,5.7,181189.0,Bad Teacher,2011,92.0,"Comedy,Romance",27.0,"Jun 24, 2011",19000000.0,100292856.0,215448997.0,196448997.0,0.46550625622081687,10.339420894736842,2011.0,True
80,tt1285009,5.2,21614.0,The Strangers: Prey at Night,2018,85.0,Horror,79.0,"Mar 9, 2018",5000000.0,24431472.0,29960051.0,24960051.0,0.8154683047769178,4.9920102,2018.0,True
85,tt1306980,7.7,300475.0,50/50,2011,100.0,"Comedy,Drama,Romance",73.0,"Sep 30, 2011",8000000.0,35016118.0,41334735.0,33334735.0,0.8471354177061979,4.166841875,2011.0,True
89,tt1321509,5.7,42042.0,Death at a Funeral,2010,92.0,Comedy,64.0,"Apr 16, 2010",21000000.0,42739347.0,48977233.0,27977233.0,0.8726370270856256,1.3322491904761904,2010.0,False
90,tt1321860,6.7,45173.0,The Beaver,2011,91.0,Drama,79.0,"May 6, 2011",21000000.0,970816.0,5046038.0,-15953962.0,0.19239173387120748,-0.7597124761904762,2011.0,False
91,tt1322269,7.2,79383.0,August: Osage County,2013,121.0,"Comedy,Drama",15.0,"Dec 25, 2013",25000000.0,37738810.0,50738810.0,25738810.0,0.7437858712098293,1.0295524,2013.0,False
92,tt1322312,6.3,54421.0,Going the Distance,2010,102.0,"Comedy,Romance",11.0,"Sep 3, 2010",32000000.0,17804299.0,43603990.0,11603990.0,0.4083181149248039,0.3626246875,2010.0,False
93,tt1327194,6.5,94359.0,The Lucky One,2012,101.0,"Drama,Romance",87.0,"Apr 20, 2012",25000000.0,60457138.0,96633833.0,71633833.0,0.6256311699857751,2.86535332,2012.0,True
