,tconst,averagerating,numvotes,movie,start_year,runtime_minutes,genres,id,release_date,production_budget,domestic_gross,worldwide_gross,net_pre_marketing,domestic/world,earnings/cost_ratio,year_released,Profitable?
3727,tt1536044,5.7,93122.0,Paranormal Activity 2,2010,91.0,Horror,65.0,"Oct 20, 2010",3000000.0,84752907.0,177512032.0,174512032.0,0.4774488018930458,58.17067733333333,2010.0,True
3766,tt1538403,5.9,121936.0,The Mortal Instruments: City of Bones,2013,130.0,"Action,Fantasy,Horror",26.0,"Aug 21, 2013",60000000.0,31165421.0,75965567.0,15965567.0,0.410257202450684,0.26609278333333336,2013.0,False
3787,tt1540011,5.0,36867.0,Blair Witch,2016,89.0,"Horror,Mystery,Thriller",1.0,"Sep 16, 2016",10000000.0,20777061.0,38985577.0,28985577.0,0.532942246821177,2.8985577,2016.0,True
4094,tt1560985,4.2,33522.0,The Devil Inside,2012,83.0,Horror,12.0,"Jan 6, 2012",1000000.0,53262945.0,101759490.0,100759490.0,0.5234199286965766,100.75949,2012.0,True
4301,tt1572315,4.8,41784.0,Texas Chainsaw 3D,2013,92.0,"Horror,Thriller",55.0,"Jan 4, 2013",20000000.0,34341945.0,47666013.0,27666013.0,0.7204702646306919,1.38330065,2013.0,True
4440,tt1582507,5.6,66303.0,House at the End of the Street,2012,101.0,"Drama,Horror,Thriller",73.0,"Sep 21, 2012",6900000.0,31611916.0,44103982.0,37203982.0,0.7167587724845343,5.391881449275362,2012.0,True
4561,tt1588173,6.9,208709.0,Warm Bodies,2013,98.0,"Comedy,Horror,Romance",70.0,"Feb 1, 2013",30000000.0,66380662.0,115121608.0,85121608.0,0.5766134017169045,2.8373869333333332,2013.0,True
4634,tt1591095,6.9,254197.0,Insidious,2010,103.0,"Horror,Mystery,Thriller",63.0,"Apr 1, 2011",1500000.0,54009150.0,99870886.0,98370886.0,0.540789735258782,65.58059066666667,2011.0,True
4709,tt1594562,5.5,31089.0,The Innkeepers,2011,101.0,"Drama,Horror,Mystery",78.0,"Feb 3, 2012",750000.0,78396.0,1011535.0,261535.0,0.07750201426544806,0.3487133333333333,2012.0,False
4745,tt1596365,6.4,165357.0,The Woman in Black,2012,95.0,"Drama,Fantasy,Horror",18.0,"Feb 3, 2012",15000000.0,54333290.0,128955898.0,113955898.0,0.4213323379749564,7.597059866666667,2012.0,True
5034,tt1610996,5.8,15507.0,Absentia,2011,87.0,"Drama,Horror,Mystery",6.0,"Dec 31, 2011",70000.0,0.0,8555.0,-61445.0,0.0,-0.8777857142857143,2011.0,False
5044,tt1611224,5.9,142853.0,Abraham Lincoln: Vampire Hunter,2012,105.0,"Action,Fantasy,Horror",65.0,"Jun 22, 2012",67500000.0,37519139.0,137489730.0,69989730.0,0.27288684762127324,1.0368848888888889,2012.0,True
5091,tt1612774,5.8,31316.0,Rubber,2010,82.0,"Comedy,Fantasy,Horror",55.0,"Apr 1, 2011",500000.0,100370.0,680914.0,180914.0,0.14740481176771222,0.361828,2011.0,False
5308,tt1622979,5.9,98061.0,Final Destination 5,2011,92.0,Horror,49.0,"Aug 12, 2011",40000000.0,42587643.0,155011165.0,115011165.0,0.2747391970120346,2.875279125,2011.0,True
5507,tt1633356,4.0,23190.0,Shark Night 3D,2011,90.0,"Horror,Thriller",52.0,"Sep 2, 2011",25000000.0,18877153.0,18877153.0,-6122847.0,1.0,-0.24491388,2011.0,False
5651,tt1640459,6.1,41633.0,Hobo with a Shotgun,2011,86.0,"Action,Comedy,Horror",33.0,"May 6, 2011",3000000.0,703372.0,834953.0,-2165047.0,0.8424090936855129,-0.7216823333333333,2011.0,False
6527,tt1675192,7.4,83200.0,Take Shelter,2011,121.0,"Drama,Horror,Thriller",9.0,"Sep 30, 2011",4750000.0,1728953.0,4972016.0,222016.0,0.34773681339722157,0.04674021052631579,2011.0,False
6809,tt1687901,6.5,60215.0,The Awakening,2011,102.0,"Horror,Thriller",4.0,"Aug 17, 2012",4900000.0,95933.0,6924321.0,2024321.0,0.013854499235376292,0.41312673469387756,2012.0,False
7156,tt1703199,6.1,48125.0,Grave Encounters,2011,92.0,Horror,76.0,"Sep 9, 2011",2000000.0,0.0,2151887.0,151887.0,0.0,0.0759435,2011.0,False
7297,tt1709143,5.5,33137.0,The Last Days on Mars,2013,98.0,"Adventure,Horror,Sci-Fi",25.0,"Dec 6, 2013",10600000.0,24084.0,261364.0,-10338636.0,0.09214735005586079,-0.9753430188679245,2013.0,False
7745,tt1726592,6.3,64684.0,Before I Go to Sleep,2014,92.0,"Drama,Horror,Mystery",49.0,"Oct 31, 2014",22000000.0,3242457.0,19563579.0,-2436421.0,0.16573945902229853,-0.11074640909090909,2014.0,False
7799,tt1727776,6.3,40479.0,Scouts Guide to the Zombie Apocalypse,2015,93.0,"Action,Comedy,Horror",25.0,"Oct 30, 2015",15000000.0,3703046.0,15554855.0,554855.0,0.23806367851066434,0.03699033333333333,2015.0,False
7918,tt1731697,5.1,25089.0,The Lords of Salem,2012,101.0,"Horror,Thriller",84.0,"Apr 19, 2013",1500000.0,1165881.0,1541131.0,41131.0,0.7565099916879227,0.027420666666666666,2013.0,False
8401,tt1748179,6.2,55287.0,Red Lights,2012,114.0,"Drama,Fantasy,Horror",56.0,"Jul 13, 2012",17700000.0,49521.0,14518884.0,-3181116.0,0.0034107993424287984,-0.17972406779661018,2012.0,False
8412,tt1748227,6.1,42256.0,The Collection,2012,82.0,"Action,Horror,Thriller",52.0,"Nov 30, 2012",10000000.0,6810754.0,8890094.0,-1109906.0,0.766105960184448,-0.1109906,2012.0,False
8930,tt1767382,5.3,20831.0,Silent House,2011,86.0,"Drama,Horror,Mystery",97.0,"Mar 9, 2012",2000000.0,12739737.0,16610760.0,14610760.0,0.7669569002261185,7.30538,2012.0,True
8960,tt1772240,5.2,51427.0,Apollo 18,2011,86.0,"Horror,Mystery,Sci-Fi",94.0,"Sep 2, 2011",5000000.0,17686929.0,26517819.0,21517819.0,0.6669827937207053,4.3035638,2011.0,True
9189,tt1778304,5.8,85689.0,Paranormal Activity 3,2011,83.0,"Horror,Mystery,Thriller",51.0,"Oct 21, 2011",5000000.0,104028807.0,207039844.0,202039844.0,0.5024579085366776,40.4079688,2011.0,True
9478,tt1788391,6.4,32807.0,Kill List,2011,95.0,"Crime,Drama,Horror",70.0,"Feb 3, 2012",800000.0,29063.0,462206.0,-337794.0,0.06287888949948724,-0.4222425,2012.0,False
10729,tt1841642,5.3,12025.0,Demonic,2015,83.0,"Horror,Thriller",56.0,"Oct 10, 2017",3000000.0,0.0,4668109.0,1668109.0,0.0,0.5560363333333334,2017.0,False
11038,tt1853739,6.6,79451.0,You're Next,2011,95.0,"Action,Comedy,Horror",17.0,"Aug 23, 2013",1000000.0,18494006.0,26887177.0,25887177.0,0.6878374029374672,25.887177,2013.0,True
11091,tt1855325,5.4,125191.0,Resident Evil: Retribution,2012,95.0,"Action,Horror,Sci-Fi",4.0,"Sep 14, 2012",65000000.0,42345531.0,240647629.0,175647629.0,0.17596487933816293,2.7022712153846156,2012.0,True
11606,tt1878841,4.4,12435.0,The Darkness,2016,92.0,"Horror,Thriller",98.0,"May 13, 2016",4000000.0,10753574.0,10898293.0,6898293.0,0.9867209479502891,1.72457325,2016.0,True
11651,tt1881002,5.6,38671.0,Maggie,2015,95.0,"Drama,Horror",47.0,"May 8, 2015",4500000.0,187112.0,1027760.0,-3472240.0,0.18205806803144703,-0.7716088888888889,2015.0,False
12083,tt1911644,6.7,103780.0,The Call,2013,94.0,"Crime,Drama,Horror",14.0,"Mar 15, 2013",12800000.0,51872378.0,69821476.0,57021476.0,0.7429286943174905,4.4548028125,2013.0,True
12259,tt1922777,6.8,198345.0,Sinister,2012,110.0,"Horror,Mystery,Thriller",69.0,"Oct 12, 2012",3000000.0,48086903.0,87727807.0,84727807.0,0.5481375249697055,28.242602333333334,2012.0,True
12589,tt1939659,5.9,125424.0,Carrie,2013,100.0,"Drama,Horror",26.0,"Oct 18, 2013",30000000.0,35266619.0,82409520.0,52409520.0,0.42794350701229666,1.746984,2013.0,True
13195,tt1974419,6.2,72359.0,The Neon Demon,2016,117.0,"Horror,Thriller",68.0,"Jun 24, 2016",7500000.0,1333124.0,3559803.0,-3940197.0,0.3744937570983563,-0.5253596,2016.0,False
13221,tt1976009,6.0,47492.0,Victor Frankenstein,2015,110.0,"Drama,Horror,Sci-Fi",24.0,"Nov 25, 2015",40000000.0,5775076.0,31124367.0,-8875633.0,0.18554838400408272,-0.221890825,2015.0,False
13551,tt1991245,5.0,60304.0,Chernobyl Diaries,2012,86.0,"Horror,Mystery,Thriller",18.0,"May 25, 2012",1000000.0,18119640.0,42411721.0,41411721.0,0.4272318965787783,41.411721,2012.0,True
14087,tt2023587,6.2,158487.0,Mama,2013,100.0,"Horror,Thriller",9.0,"Jan 18, 2013",15000000.0,71628180.0,148095566.0,133095566.0,0.4836618808695461,8.873037733333334,2013.0,True
14231,tt2034139,4.0,15124.0,The Last Exorcism Part II,2013,88.0,"Drama,Horror,Thriller",90.0,"Mar 1, 2013",4000000.0,15179303.0,25448707.0,21448707.0,0.5964665709735273,5.36217675,2013.0,True
14273,tt2039338,5.2,33752.0,Flatliners,2017,109.0,"Drama,Horror,Mystery",11.0,"Sep 29, 2017",20000000.0,16883115.0,45173738.0,25173738.0,0.37373739140205753,1.2586869,2017.0,True
14645,tt2059171,6.3,29550.0,13 Sins,2014,93.0,"Horror,Thriller",51.0,"Apr 18, 2014",4000000.0,9134.0,47552.0,-3952448.0,0.19208445491251683,-0.988112,2014.0,False
15721,tt2099556,5.7,11025.0,Antiviral,2012,108.0,"Horror,Sci-Fi,Thriller",63.0,"Apr 12, 2013",3100000.0,0.0,123407.0,-2976593.0,0.0,-0.9601912903225807,2013.0,False
15959,tt2109184,4.6,58408.0,Paranormal Activity 4,2012,88.0,"Horror,Mystery,Thriller",59.0,"Oct 19, 2012",5000000.0,53900335.0,142817992.0,137817992.0,0.3774057753171603,27.5635984,2012.0,True
17333,tt2184339,5.7,183549.0,The Purge,2013,85.0,"Horror,Thriller",67.0,"Jun 7, 2013",3000000.0,64473115.0,91266581.0,88266581.0,0.7064263204951219,29.422193666666665,2013.0,True
19889,tt2309260,4.2,17763.0,The Gallows,2015,81.0,"Horror,Mystery,Thriller",80.0,"Jul 10, 2015",100000.0,22764410.0,41656474.0,41556474.0,0.5464795220065913,415.56474,2015.0,True
19998,tt2316204,6.4,226920.0,Alien: Covenant,2017,122.0,"Horror,Sci-Fi,Thriller",12.0,"May 19, 2017",97000000.0,74262031.0,238521247.0,141521247.0,0.3113434628320554,1.4589819278350515,2017.0,True
20168,tt2321549,6.8,171411.0,The Babadook,2014,94.0,"Drama,Horror",41.0,"Nov 28, 2014",2000000.0,950792.0,7482387.0,5482387.0,0.12707067945028772,2.7411935,2014.0,True
21388,tt2377322,6.2,63793.0,Deliver Us from Evil,2014,118.0,"Horror,Mystery,Thriller",34.0,"Jul 2, 2014",30000000.0,30577122.0,87956618.0,57956618.0,0.3476386734196624,1.9318872666666667,2014.0,True
21647,tt2387433,6.3,65754.0,Dark Skies,2013,97.0,"Horror,Sci-Fi,Thriller",97.0,"Feb 22, 2013",3500000.0,17418667.0,27704111.0,24204111.0,0.628739431487262,6.9154602857142855,2013.0,True
21689,tt2388715,6.5,106906.0,Oculus,2013,104.0,"Horror,Mystery",72.0,"Apr 11, 2014",5000000.0,27695246.0,44115496.0,39115496.0,0.6277895186761586,7.8230992,2014.0,True
21980,tt2400463,6.7,70213.0,The Invitation,2015,100.0,"Drama,Horror,Mystery",74.0,"Apr 8, 2016",1000000.0,231738.0,354836.0,-645164.0,0.6530848053748775,-0.645164,2016.0,False
22092,tt2403021,5.3,33239.0,The Green Inferno,2013,100.0,"Adventure,Horror",31.0,"Sep 25, 2015",1000000.0,7192291.0,12931420.0,11931420.0,0.5561872555372882,11.93142,2015.0,True
23081,tt2473510,4.6,22361.0,Paranormal Activity: The Ghost Dimension,2015,88.0,"Horror,Mystery,Thriller",7.0,"Oct 23, 2015",10000000.0,18297124.0,77959374.0,67959374.0,0.23470075580647942,6.7959374,2015.0,True
23089,tt2473682,5.0,37147.0,Paranormal Activity: The Marked Ones,2014,84.0,"Horror,Mystery,Thriller",70.0,"Jan 3, 2014",5000000.0,32462372.0,90904854.0,85904854.0,0.35710273513007346,17.1809708,2014.0,True
23295,tt2494362,7.1,70298.0,Bone Tomahawk,2015,132.0,"Adventure,Drama,Horror",77.0,"Oct 23, 2015",2000000.0,0.0,475846.0,-1524154.0,0.0,-0.762077,2015.0,False
23947,tt2554274,6.5,119287.0,Crimson Peak,2015,119.0,"Drama,Fantasy,Horror",33.0,"Oct 16, 2015",55000000.0,31090320.0,74966854.0,19966854.0,0.4147208845125074,0.3630337090909091,2015.0,False
24397,tt2592614,5.6,74979.0,Resident Evil: The Final Chapter,2016,107.0,"Action,Horror,Sci-Fi",84.0,"Jan 27, 2017",40000000.0,26844692.0,314101190.0,274101190.0,0.08546510759796867,6.85252975,2017.0,True
25910,tt2752758,4.1,15502.0,Devil's Due,2014,89.0,"Horror,Mystery,Thriller",14.0,"Jan 17, 2014",7000000.0,15821461.0,36146087.0,29146087.0,0.437708817554719,4.163726714285715,2014.0,True
25911,tt2752772,5.3,41782.0,Sinister 2,2015,97.0,"Horror,Mystery,Thriller",91.0,"Aug 21, 2015",10000000.0,27740955.0,54104225.0,44104225.0,0.5127317690993634,4.4104225,2015.0,True
26334,tt2798920,6.9,228664.0,Annihilation,2018,115.0,"Adventure,Drama,Horror",32.0,"Feb 23, 2018",55000000.0,32732301.0,43070915.0,-11929085.0,0.7599629819798349,-0.21689245454545455,2018.0,False
26898,tt2870612,6.2,66892.0,"As Above, So Below",2014,93.0,"Adventure,Horror,Mystery",84.0,"Aug 29, 2014",5000000.0,21222315.0,41824066.0,36824066.0,0.5074187430748603,7.3648132,2014.0,True
27290,tt2918436,5.2,37675.0,The Lazarus Effect,2015,83.0,"Horror,Mystery,Sci-Fi",76.0,"Feb 27, 2015",5000000.0,25801570.0,38359310.0,33359310.0,0.6726286265316034,6.671862,2015.0,True
27887,tt2975578,6.5,126203.0,The Purge: Anarchy,2014,103.0,"Action,Horror,Sci-Fi",71.0,"Jul 18, 2014",9000000.0,71562550.0,111534881.0,102534881.0,0.6416158726165674,11.392764555555555,2014.0,True
29032,tt3099498,5.3,40827.0,Tusk,2014,102.0,"Comedy,Drama,Horror",28.0,"Sep 19, 2014",3000000.0,1821983.0,1887554.0,-1112446.0,0.9652613911972849,-0.37081533333333333,2014.0,False
29984,tt3181822,4.7,34816.0,The Boy Next Door,2015,91.0,"Horror,Thriller",81.0,"Jan 23, 2015",4000000.0,36006065.0,53401938.0,49401938.0,0.6742464103081802,12.3504845,2015.0,True
30337,tt3216348,5.3,10217.0,Incarnate,2016,91.0,"Horror,Thriller",39.0,"Dec 2, 2016",5000000.0,4799774.0,9371036.0,4371036.0,0.5121924619647177,0.8742072,2016.0,False
30546,tt3235888,6.9,182839.0,It Follows,2014,100.0,"Horror,Mystery",94.0,"Mar 13, 2015",2000000.0,14674077.0,23250755.0,21250755.0,0.6311226022552816,10.6253775,2015.0,True
31463,tt3319920,5.7,33335.0,Regression,2015,106.0,"Crime,Horror,Mystery",6.0,"Oct 30, 2015",20000000.0,55039.0,15824374.0,-4175626.0,0.003478115469212242,-0.2087813,2015.0,False
31486,tt3322940,5.4,122039.0,Annabelle,2014,99.0,"Horror,Mystery,Thriller",84.0,"Oct 3, 2014",6500000.0,84273813.0,256862920.0,250362920.0,0.3280886669045108,38.517372307692305,2014.0,True
31788,tt3348730,5.8,57184.0,Jigsaw,2017,92.0,"Crime,Horror,Mystery",61.0,"Oct 27, 2017",10000000.0,38052832.0,102445196.0,92445196.0,0.37144574353686627,9.2445196,2017.0,True
31814,tt3352390,5.3,21704.0,Friend Request,2016,92.0,"Horror,Thriller",48.0,"Sep 22, 2017",9900000.0,3759078.0,11310835.0,1410835.0,0.3323431028743678,0.14250858585858586,2017.0,False
32087,tt3387542,4.8,36423.0,The Forest,2016,93.0,"Horror,Mystery,Thriller",92.0,"Jan 8, 2016",10000000.0,26594261.0,40749230.0,30749230.0,0.6526322337869943,3.074923,2016.0,True
33287,tt3504048,6.8,29757.0,Housebound,2014,107.0,"Comedy,Horror,Mystery",7.0,"Oct 17, 2014",1500000.0,0.0,236863.0,-1263137.0,0.0,-0.8420913333333333,2014.0,False
33977,tt3567288,6.2,102459.0,The Visit,2015,94.0,"Horror,Mystery,Thriller",56.0,"Sep 11, 2015",5000000.0,65206105.0,98677816.0,93677816.0,0.660798015635044,18.7355632,2015.0,True
35277,tt3702652,5.3,15813.0,The Other Side of the Door,2016,96.0,Horror,49.0,"Mar 4, 2016",5000000.0,3000342.0,12905107.0,7905107.0,0.23249260932125554,1.5810214,2016.0,True
